Fecha,Precipitacion_mm
1985-01-01,106.4
1985-02-01,35.2
1985-03-01,78.8
1985-04-01,184.5
1985-05-01,370.2
1985-06-01,308.3
1985-07-01,171.9
1985-08-01,128.9
1985-09-01,147.5
1985-10-01,79.8
1985-11-01,81.0
1985-12-01,36.5
1986-01-01,40.9
1986-02-01,130.7
1986-03-01,79.6
1986-04-01,262.4
1986-05-01,390.4
1986-06-01,264.7
1986-07-01,173.5
1986-08-01,297.6
1986-09-01,99.7
1986-10-01,61.3
1986-11-01,172.6
1986-12-01,12.7
1987-01-01,5.0
1987-02-01,20.3
1987-03-01,97.9
1987-04-01,102.6
1987-05-01,167.5
1987-06-01,181.3
1987-07-01,410.9
1987-08-01,216.8
1987-09-01,181.5
1987-10-01,161.2
1987-11-01,47.5
1987-12-01,46.9
1988-01-01,50.3
1988-02-01,0.2
1988-03-01,78.9
1988-04-01,69.5
1988-05-01,114.3
1988-06-01,261.2
1988-07-01,130.0
1988-08-01,250.8
1988-09-01,67.1
1988-10-01,82.0
1988-11-01,20.4
1988-12-01,51.7
1989-01-01,19.9
1989-02-01,23.6
1989-03-01,50.0
1989-04-01,44.2
1989-05-01,87.2
1989-06-01,324.2
1989-07-01,305.7
1989-08-01,185.7
1989-09-01,63.8
1989-10-01,66.7
1989-11-01,36.1
1989-12-01,188.0
1990-01-01,24.4
1990-02-01,72.4
1990-03-01,129.8
1990-04-01,154.5
1990-05-01,352.6
1990-06-01,170.2
1990-07-01,176.4
1990-08-01,239.8
1990-09-01,266.5
1990-10-01,84.5
1990-11-01,62.6
1990-12-01,30.5
1991-01-01,17.2
1991-02-01,32.5
1991-03-01,70.0
1991-04-01,106.5
1991-05-01,323.8
1991-06-01,224.9
1991-07-01,282.2
1991-08-01,202.5
1991-09-01,118.6
1991-10-01,88.6
1991-11-01,71.9
1991-12-01,194.3
1992-01-01,38.2
1992-02-01,12.4
1992-03-01,122.7
1992-04-01,152.9
1992-05-01,322.1
1992-06-01,391.4
1992-07-01,148.6
1992-08-01,145.6
1992-09-01,181.1
1992-10-01,164.3
1992-11-01,39.6
1992-12-01,106.8
1993-01-01,35.1
1993-02-01,14.9
1993-03-01,194.5
1993-04-01,238.3
1993-05-01,417.3
1993-06-01,483.8
1993-07-01,391.1
1993-08-01,137.3
1993-09-01,86.4
1993-10-01,112.0
1993-11-01,179.4
1993-12-01,71.1
1994-01-01,18.3
1994-02-01,10.7
1994-03-01,24.1
1994-04-01,142.7
1994-05-01,190.9
1994-06-01,328.6
1994-07-01,307.0
1994-08-01,160.6
1994-09-01,148.1
1994-10-01,122.7
1994-11-01,151.1
1994-12-01,81.5
1995-01-01,74.8
1995-02-01,2.5
1995-03-01,33.8
1995-04-01,189.1
1995-05-01,92.3
1995-06-01,467.5
1995-07-01,295.6
1995-08-01,346.8
1995-09-01,76.7
1995-10-01,127.3
1995-11-01,39.3
1995-12-01,0.6
1996-01-01,33.2
1996-02-01,47.6
1996-03-01,88.1
1996-04-01,99.6
1996-05-01,256.1
1996-06-01,172.4
1996-07-01,115.0
1996-08-01,232.9
1996-09-01,37.5
1996-10-01,64.0
1996-11-01,81.9
1996-12-01,29.5
1997-01-01,111.8
1997-02-01,32.0
1997-03-01,6.0
1997-04-01,300.7
1997-05-01,197.5
1997-06-01,478.2
1997-07-01,417.6
1997-08-01,222.5
1997-09-01,126.2
1997-10-01,175.5
1997-11-01,145.3
1997-12-01,42.6
1998-01-01,16.9
1998-02-01,9.7
1998-03-01,47.9
1998-04-01,97.0
1998-05-01,134.1
1998-06-01,193.4
1998-07-01,143.9
1998-08-01,224.6
1998-09-01,72.3
1998-10-01,11.8
1998-11-01,42.9
1998-12-01,38.6
1999-01-01,19.2
1999-02-01,42.0
1999-03-01,66.3
1999-04-01,32.4
1999-05-01,198.0
1999-06-01,364.9
1999-07-01,151.5
1999-08-01,339.9
1999-09-01,184.5
1999-10-01,27.8
1999-11-01,58.4
1999-12-01,28.8
2000-01-01,22.7
2000-02-01,155.6
2000-03-01,45.4
2000-04-01,125.2
2000-05-01,132.6
2000-06-01,784.2
2000-07-01,271.3
2000-08-01,157.7
2000-09-01,161.6
2000-10-01,66.6
2000-11-01,74.7
2000-12-01,65.7
2001-01-01,126.1
2001-02-01,28.9
2001-03-01,56.1
2001-04-01,65.3
2001-05-01,365.4
2001-06-01,395.6
2001-07-01,473.6
2001-08-01,164.9
2001-09-01,66.1
2001-10-01,42.6
2001-11-01,87.7
2001-12-01,2.6
2002-01-01,23.0
2002-02-01,57.4
2002-03-01,175.7
2002-04-01,103.7
2002-05-01,314.8
2002-06-01,204.1
2002-07-01,216.0
2002-08-01,264.1
2002-09-01,174.0
2002-10-01,398.3
2002-11-01,167.8
2002-12-01,120.3
2003-01-01,30.2
2003-02-01,19.9
2003-03-01,55.3
2003-04-01,96.4
2003-05-01,117.2
2003-06-01,522.5
2003-07-01,224.2
2003-08-01,141.3
2003-09-01,263.6
2003-10-01,119.0
2003-11-01,121.2
2003-12-01,86.0
2004-01-01,10.5
2004-02-01,22.0
2004-03-01,59.8
2004-04-01,294.3
2004-05-01,31.5
2004-06-01,484.8
2004-07-01,290.7
2004-08-01,155.7
2004-09-01,140.6
2004-10-01,161.7
2004-11-01,120.0
2004-12-01,63.1
2005-01-01,42.0
2005-02-01,1.9
2005-03-01,91.5
2005-04-01,53.0
2005-05-01,567.5
2005-06-01,378.7
2005-07-01,190.7
2005-08-01,251.0
2005-09-01,91.4
2005-10-01,68.0
2005-11-01,204.3
2005-12-01,71.8
2006-01-01,142.0
2006-02-01,21.8
2006-03-01,81.3
2006-04-01,224.3
2006-05-01,168.3
2006-06-01,488.2
2006-07-01,337.2
2006-08-01,251.9
2006-09-01,81.9
2006-10-01,103.3
2006-11-01,38.6
2006-12-01,139.2
2007-01-01,21.2
2007-02-01,45.1
2007-03-01,43.7
2007-04-01,154.5
2007-05-01,67.4
2007-06-01,208.3
2007-07-01,266.3
2007-08-01,190.5
2007-09-01,111.4
2007-10-01,109.1
2007-11-01,32.8
2007-12-01,31.0
